variant_name,prediction,seed,compat_N,well_mixed,payoff_preset,payoff_T,payoff_R,payoff_P,payoff_S,evolution_on,mutation_rate,fermi_k,evolution_interval,dunbar_limit,vision_radius,player_speed,end_cycle,share_TFT,share_ALLC,share_ALLD,share_FTFT,share_TF2T,share_GRIM,share_WSLS,d_share,exploit_last_window,payoff_ALLD,payoff_TFT,payoff_all,known_partners,distinct_partners,games_per_partner,exceeding_dunbar,fixated,stabilized,stabilized_at,nb_character_changes
S1_P12_wellmixed,P1P2,2121129191,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,2.0,20000,0.002,0.631,0.34700000000000003,0.004,0.005,0.0015,0.009500000000000003,0.3530162416268297,0.44976053011415823,2.8865347890862334,2.8745202645689867,2.8861346661381435,199.0,199.0,183.93170854271352,0.0,False,False,-1,14341
S1_P12_wellmixed,P1P2,744720527,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,2.0,20000,0.001,0.6445,0.3195,0.007999999999999998,0.003,0.0095,0.014500000000000002,0.33814824629565965,0.4397743962697854,2.89250244374937,0.0,2.893458333013417,199.0,199.0,183.92547738693477,0.0,False,False,11000,14133
S1_P12_wellmixed,P1P2,686818433,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,2.0,20000,0.0095,0.028500000000000004,0.0015,0.393,0.2605,0.18499999999999997,0.12200000000000003,0.006134378346760025,0.00611691068653842,0.0,0.0,2.9605514961469517,199.0,199.0,183.91954773869355,0.0,False,True,19000,14972
S1_P12_wellmixed,P1P2,381425458,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,2.0,20000,0.016500000000000004,0.606,0.265,0.0015,0.001,0.0045000000000000005,0.1055,0.31051647336099253,0.40669247001454173,2.782033508764217,2.779358232654012,2.7814947437856237,199.0,199.0,183.91130653266336,0.0,False,False,-1,12724
S1_P12_wellmixed,P1P2,1620985466,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,2.0,20000,0.0405,0.38150000000000006,0.002,0.019,0.20049999999999998,0.09699999999999999,0.25949999999999995,0.006406830702717511,0.008273953724919748,2.941935659167482,2.962963964813893,2.9622385649647622,199.0,199.0,183.9115577889448,0.0,False,False,12000,14970
S1_P3_wellmixed,P3,2121129191,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,0,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.36207241412499475,0.0,1.0349384264245334,4.193989504662989,3.5621792890152983,199.0,199.0,183.9064824120603,0.0,False,True,11000,0
S1_P3_wellmixed,P3,686818433,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,0,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.3614222381441597,0.0,1.0349735041459869,4.195094469911871,3.563070276758693,199.0,199.0,183.91708542713567,0.0,False,True,11000,0
S1_P3_wellmixed,P3,744720527,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,0,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.3594330322308847,0.0,1.0349672165922408,4.194137953257734,3.5623038059246355,199.0,199.0,183.93974874371867,0.0,False,True,11000,0
S1_P3_wellmixed,P3,381425458,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,0,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.36116978252670157,0.0,1.034970584946025,4.19468189291722,3.56273963132298,199.0,199.0,183.9241708542713,0.0,False,True,11000,0
S1_P3_wellmixed,P3,2121129191,200,True,weak_PD,1.6,1.0,0.0,0.0,False,0.0,0.5,100,0,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.36207241412499475,0.0,0.0069876852849066,0.7987706956195282,0.640414093552604,199.0,199.0,183.9064824120603,0.0,False,True,11000,0
S1_P3_wellmixed,P3,1620985466,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,0,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.36048265787510253,0.0,1.034975293844974,4.194869954229349,3.5628910221524746,199.0,199.0,183.89462311557784,0.0,False,True,11000,0
S1_P3_wellmixed,P3,686818433,200,True,weak_PD,1.6,1.0,0.0,0.0,False,0.0,0.5,100,0,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.3614222381441597,0.0,0.006994700829197373,0.7990468490284017,0.6406364193885608,199.0,199.0,183.91708542713567,0.0,False,True,11000,0
S1_P3_wellmixed,P3,744720527,200,True,weak_PD,1.6,1.0,0.0,0.0,False,0.0,0.5,100,0,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.3594330322308847,0.0,0.006993443318448125,0.7988076902101009,0.6404448408317703,199.0,199.0,183.93974874371867,0.0,False,True,11000,0
S1_P3_wellmixed,P3,381425458,200,True,weak_PD,1.6,1.0,0.0,0.0,False,0.0,0.5,100,0,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.36116978252670157,0.0,0.006994116989204957,0.7989436976799857,0.6405537815418295,199.0,199.0,183.9241708542713,0.0,False,True,11000,0
S1_P3_wellmixed,P3,1620985466,200,True,weak_PD,1.6,1.0,0.0,0.0,False,0.0,0.5,100,0,30,2.0,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.36048265787510253,0.0,0.006995058768994804,0.7989907577075317,0.6405916179198241,199.0,199.0,183.89462311557784,0.0,False,True,11000,0
