variant_name,seed,network_variant,col,row,total_games,share_repeat_remembered,share_repeat_ever,last_window_share_remembered,last_window_share_ever
PM4_heatmap,2121129191,baseline,4,9,19,0.9473684210526315,0.9473684210526315,-1.0,-1.0
PM4_heatmap,2121129191,baseline,7,9,9,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,8,9,42,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,11,9,50,0.98,0.98,-1.0,-1.0
PM4_heatmap,2121129191,baseline,12,9,21,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,13,9,121,0.9834710743801653,0.9834710743801653,-1.0,-1.0
PM4_heatmap,2121129191,baseline,16,9,9,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,25,9,250,0.98,0.98,-1.0,-1.0
PM4_heatmap,2121129191,baseline,26,9,190,0.9947368421052631,0.9947368421052631,-1.0,-1.0
PM4_heatmap,2121129191,baseline,27,9,60,0.9833333333333333,0.9833333333333333,-1.0,-1.0
PM4_heatmap,2121129191,baseline,28,9,32,0.96875,0.96875,-1.0,-1.0
PM4_heatmap,2121129191,baseline,30,9,56,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,34,9,23,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,35,9,99,0.98989898989899,0.98989898989899,-1.0,-1.0
PM4_heatmap,2121129191,baseline,36,9,25,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,38,9,12,0.9166666666666666,0.9166666666666666,-1.0,-1.0
PM4_heatmap,2121129191,baseline,39,9,254,0.9921259842519685,0.9921259842519685,-1.0,-1.0
PM4_heatmap,2121129191,baseline,40,9,23,1.0,1.0,-1.0,-1.0
PM4_heatmap,2121129191,baseline,2,10,21,0.9523809523809523,0.9523809523809523,-1.0,-1.0
PM4_heatmap,2121129191,baseline,3,10,36,0.9722222222222222,0.9722222222222222,-1.0,-1.0
PM4_heatmap,2121129191,baseline,8,10,41,1.0,1.0,-1.0,-1.0
