variant_name,prediction,seed,compat_N,well_mixed,payoff_preset,payoff_T,payoff_R,payoff_P,payoff_S,evolution_on,mutation_rate,fermi_k,evolution_interval,dunbar_limit,vision_radius,player_speed,end_cycle,share_TFT,share_ALLC,share_ALLD,share_FTFT,share_TF2T,share_GRIM,share_WSLS,d_share,exploit_last_window,payoff_ALLD,payoff_TFT,payoff_all,known_partners,distinct_partners,games_per_partner,exceeding_dunbar,fixated,stabilized,alld_trend_10k,nb_character_changes,network_variant,net_nodes,net_edges,net_mean_degree,net_avg_path,net_density,net_betw_max,net_betw_mean,enc_share_remembered,enc_share_ever,enc_distinct
PM2_P12_wellmixed,P1P2,381425458,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,0.1,100000,0.0035000000000000005,0.6285,0.32949999999999996,0.003,0.003999999999999999,0.004999999999999999,0.026500000000000003,0.34628555861131755,0.44675263698106615,2.6897793371469896,2.6915603644988533,2.6894134844779325,199.0,199.0,919.5898492462314,0.0,False,True,-0.0014051336205346654,52909,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.97
PM2_P12_wellmixed,P1P2,1620985466,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,0.1,100000,0.0,0.64,0.3345,0.0055,0.011,0.008,0.001,0.33981711945696624,0.43954411660304615,2.750353452294893,0.0,2.749630551279093,199.0,199.0,919.623417085427,0.0,False,True,0.002027408109631889,56780,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.98
PM2_P12_wellmixed,P1P2,1669164794,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,0.1,100000,0.01,0.6275000000000001,0.305,0.010499999999999999,0.0075,0.006499999999999999,0.032999999999999995,0.3238838484676971,0.4209129192770492,2.6859986160961973,0.0,2.6862265572519575,199.0,199.0,919.5007537688443,0.0,False,True,0.0024556898227596573,52540,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P12_wellmixed,P1P2,798359651,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,0.1,100000,0.0055,0.6315,0.30200000000000005,0.0015,0.0015,0.0015,0.056499999999999995,0.33324223376880735,0.4341695189563354,2.6968468589682395,0.0,2.6967272335367842,199.0,199.0,919.5945226130647,0.0,False,True,-0.004910707642830937,53936,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P12_wellmixed,P1P2,126337246,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,0.1,100000,0.0015,0.6330000000000001,0.3295,0.0015,0.0005,0.002,0.03200000000000001,0.3396488304420166,0.4472478819349549,2.6751887121009967,2.676409311380029,2.6754353437529774,199.0,199.0,919.4801507537695,0.0,False,True,0.0020250801003207676,51823,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,199.0
PM2_P3_wellmixed,P3,2121129191,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,0,30,0.1,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.36207241412499475,0.0,1.0349384264245334,4.193989504662989,3.5621792890152983,199.0,199.0,183.9064824120603,0.0,False,True,7.153272700316907e-15,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
PM2_P3_wellmixed,P3,686818433,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,0,30,0.1,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.3614222381441597,0.0,1.0349735041459869,4.195094469911871,3.563070276758693,199.0,199.0,183.91708542713567,0.0,False,True,7.153272700316907e-15,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.98
PM2_P12_wellmixed,P1P2,317149051,200,True,snowdrift,4.0,3.0,0.0,2.0,True,0.01,0.5,100,0,30,0.1,100000,0.0055,0.6359999999999999,0.326,0.0045,0.0045000000000000005,0.0034999999999999996,0.019999999999999997,0.3407333674865355,0.4367641598042856,2.671208951988502,2.672396982324264,2.670758035370483,199.0,199.0,919.5685929648238,0.0,False,True,0.001963303853215596,51021,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,199.0
PM2_P3_wellmixed,P3,744720527,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,0,30,0.1,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.3594330322308847,0.0,1.0349672165922408,4.194137953257734,3.5623038059246355,199.0,199.0,183.93974874371867,0.0,False,True,7.153272700316907e-15,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,199.0
PM2_P3_wellmixed,P3,381425458,200,True,PD_classic,9.0,5.0,1.0,0.0,False,0.0,0.5,100,0,30,0.1,20000,0.7999999999999999,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.36116978252670157,0.0,1.034970584946025,4.19468189291722,3.56273963132298,199.0,199.0,183.9241708542713,0.0,False,True,7.153272700316907e-15,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.0,1.0,198.99
